Resume,Score,Rank
30709029.pdf,0.004856211840122549,165.0
10541358.pdf,0.004795923788499964,166.0
15118506.pdf,0.004759982088970993,167.0
31926950.pdf,0.004665847911296936,168.0
15906625.pdf,0.004656358180348661,169.0
29142288.pdf,0.004597173688012554,170.0
15618327.pdf,0.0043472229199618935,171.0
16121387.pdf,0.004264694563347074,172.0
32517106.pdf,0.004169786737024946,173.0
16356151.pdf,0.004144802498562264,174.0
13503650.pdf,0.004124729212595011,175.0
18825446.pdf,0.0040177693655178365,176.0
12122372.pdf,0.00389608634454983,177.0
17150707.pdf,0.0038915980301818262,178.0
15791766.pdf,0.0038491295667728016,179.0
45462344.pdf,0.0038100467130451937,180.0
14146106.pdf,0.0037719374154768512,181.0
34970271.pdf,0.003737434540686077,182.0
69097572.pdf,0.0033554000554721804,183.0
24989856.pdf,0.003353391152647324,184.0
36671891.pdf,0.003351966120534991,185.0
29149998.pdf,0.0033071096390097122,186.0
38753827.pdf,0.00329603056288954,187.0
12545844.pdf,0.0032530275214806355,188.0
93112113.pdf,0.0031926692297779115,189.0
56525735.pdf,0.0031625212720581323,190.0
23760084.pdf,0.003065804624522081,191.0
89512321.pdf,0.0030251290430261635,192.0
19364677.pdf,0.0029944217942543677,193.0
31064969.pdf,0.0029456232620505424,194.0
25839123.pdf,0.0028380764420393527,195.0
22546476.pdf,0.002625332087028719,196.0
10344379.pdf,0.002621020968917959,197.0
91197243.pdf,0.0025971568327728986,198.0
17510973.pdf,0.002450306948439504,199.0
41590605.pdf,0.002431442741236329,200.0
11393213.pdf,0.0022800913078141597,201.0
58428843.pdf,0.002253344578720115,202.0
49937469.pdf,0.002192847279845657,203.0
12043694.pdf,0.0021398041899497234,204.0
15053703.pdf,0.002105740107436515,205.0
24828381.pdf,0.0021022931797441413,206.0
27788376.pdf,0.0018314050546996217,207.0
19063156.pdf,0.0017484091483536497,208.0
24655918.pdf,0.0017378486007139987,209.0
19362586.pdf,0.001663797747277773,210.0
15041689.pdf,0.00163270122215272,211.0
10005171.pdf,0.0014989869172347477,212.0
28290448.pdf,0.0014017739218111836,213.0
11580408.pdf,0.0013933778814921923,214.0
39805617.pdf,0.0013527519026699094,215.0
14140903.pdf,0.0013296983979665012,216.0
27770859.pdf,0.0013220203906227689,217.0
15273850.pdf,0.0012890664342224188,218.0
33542483.pdf,0.00126025779132361,219.0
82125182.pdf,0.0012016401204692202,220.0
14496667.pdf,0.0009949171550136303,221.0
16332293.pdf,0.0009622527641228384,222.0
18885231.pdf,0.000954363284913516,223.0
25150191.pdf,0.0009274394969926785,224.0
48580330.pdf,0.0008968040948719928,225.0
22442947.pdf,0.0008794422282948754,226.0
38650096.pdf,0.0008709000824940987,227.0
36024962.pdf,0.0008561210418114292,228.0
24799301.pdf,0.0008556668424276885,229.0
42427521.pdf,0.0008201697242717883,230.0
26456474.pdf,0.0008136250687943341,231.0
11677012.pdf,0.0007517055785813161,232.0
23032276.pdf,0.0007357053881118361,233.0
10466583.pdf,0.0007348699641433744,234.0
25047127.pdf,0.0006940216262331367,235.0
15973307.pdf,0.0006649074740413757,236.0
34349255.pdf,0.0006114033683429133,237.0
18472240.pdf,0.0006047670511857447,238.0
15858254.pdf,0.0005747402279703913,239.0
27974588.pdf,0.00025514616608693054,240.0
